Location Name,District,Governorate,Latitude,Longitude,Population,Economic,Social,Number of Families,Date,Origin
Al-Arabdah Village,Al-Khalis,Diyala,34.08057011,44.91989902,0.749,0.208,25.7,230,13-Apr-17,Diyala
Ali Abdulla village,Al-Khalis,Diyala,34.12538413,44.84383408,0.743,0.109,22.2,10,13-Apr-17,Diyala
Al-Makareen Village,Al-Khalis,Diyala,34.086577,44.929877,0.742,0.241,34.5,267,13-Apr-17,Diyala
Al-Mashroo Village,Al-Khalis,Diyala,34.0674633,44.77901428,0.742,0.058,12,72,13-Apr-17,Diyala
Al-Sadah Village,Al-Khalis,Diyala,34.08593048,44.72657487,0.736,0,24,230,13-Apr-17,Diyala
Arab Hamdan Village,Al-Khalis,Diyala,34.13339837,44.86015115,0.719,0.194,34.3,95,13-Apr-17,Diyala
Dalli Abass-Al-Shuhada Qtr,Al-Khalis,Diyala,34.06771587,44.86560113,0.717,0.192,25.7,244,13-Apr-17,Diyala
Dawod Al-Salom village,Al-Khalis,Diyala,34.12569087,44.84357874,0.713,0.071,13.6,154,13-Apr-17,Diyala
Al Askary Qtr,Al-Khalis,Diyala,34.06720728,44.86172578,0.71,0,29.3,253,13-Apr-17,Diyala
Al Aqssa Village,Al-Khalis,Diyala,34.06579285,44.87062591,0.703,0,9.7,125,13-Apr-17,Diyala
Bizayiz Sherwin Village,Al-Khalis,Diyala,34.040578,44.881273,0.702,0.151,12.1,184,13-Apr-17,Diyala
Al Dwaleeb Village,Al-Khalis,Diyala,34.073537,44.90583,0.698,0.271,34.3,200,13-Apr-17,Diyala
Al Marfoo Village,Al-Khalis,Diyala,34.05019937,44.78315739,0.69,0.146,28.2,75,13-Apr-17,Diyala
Alwan Al Hadid Village,Al-Khalis,Diyala,34.02365221,44.86547926,0.687,0,23.5,82,13-Apr-17,Diyala
Arab Hafeedh Village,Al-Khalis,Diyala,34.12586517,44.86960662,0.685,0.298,29.9,135,13-Apr-17,Diyala
Al Bayat Village,Al-Khalis,Diyala,34.09172564,44.93657436,0.684,0.053,18.1,32,13-Apr-17,Diyala
Bazaiz Al Mashroo Village,Al-Khalis,Diyala,34.07514466,44.77862854,0.677,0.247,29.9,57,13-Apr-17,Diyala
Dwaleeb Al Imam Village,Al-Khalis,Diyala,34.06872629,44.89544707,0.674,0.089,41.9,200,13-Apr-17,Diyala
Habib Al Abdulla Village,Al-Khalis,Diyala,34.05390233,44.8922767,0.667,0.301,34.3,349,13-Apr-17,Diyala
Habib Al Khaizaran Village,Al-Khalis,Diyala,34.121222,44.82899997,0.666,0.118,23.8,200,13-Apr-17,Diyala
Al Mansouriyah-Hamada Village,Al-Khalis,Diyala,34.03136641,44.87252433,0.659,0.058,12,78,13-Apr-17,Diyala
Hamza Al Najim Village,Al-Khalis,Diyala,34.03901602,44.88358593,0.646,0.215,29.6,110,13-Apr-17,Diyala
Dalli Abass-Al-Dhobat Qtr,Al-Khalis,Diyala,34.07316955,44.85587074,0.644,0,16.4,161,13-Apr-17,Diyala
Dalli Abass-Al Mualimen Qtr,Al-Khalis,Diyala,34.07036711,44.87058006,0.642,0.451,29.3,210,13-Apr-17,Diyala
Dali Abbas-Al Qadim Qtr,Al-Khalis,Diyala,34.073397,44.8639966,0.638,0.156,28.2,333,13-Apr-17,Diyala
Dalli Abass-Al Rasheed Qtr,Al-Khalis,Diyala,34.06989152,44.86440017,0.63,0.451,29.3,390,13-Apr-17,Diyala
Dalli Abass-Kurd Ali,Al-Khalis,Diyala,34.06963956,44.85989045,0.629,0.203,32,141,13-Apr-17,Diyala
Mohammed Ali Village,Al-Khalis,Diyala,34.04549809,44.88205377,0.629,0.145,28.2,130,13-Apr-17,Diyala
Mohammed Taha Village,Al-Khalis,Diyala,34.03490537,44.87478459,0.62,0.451,29.3,126,13-Apr-17,Diyala
